artist_id,n_songs,song_hot_mean,song_hot_median,song_hot_std,song_hot_min,song_hot_max,song_hot_range,artist_hot
AR002UA1187B9A637D,9,0.32580920968746735,0.30416950343527516,0.09471858062339594,0.2707759989463275,0.5673009673881756,0.2965249684418481,0.3486510918187438
AR003FB1187B994355,7,0.2651297920412346,0.24686509445288138,0.03119290949049933,0.24686509445288138,0.3107915360121175,0.06392644155923613,0.34905657289088454
AR009211187B989185,8,0.34522083050807156,0.32982135328651285,0.1009992464154039,0.22914410371660274,0.4802369206357505,0.25109281691914775,0.2974048028708694
AR009SZ1187B9A73F4,6,0.34619633522947996,0.3730280660082922,0.09822991681734039,0.22914410371660274,0.4679212931328587,0.23877718941625595,0.30084672037293614
AR00A1N1187FB484EB,7,0.31651866659669087,0.3240586992138468,0.07054779494201663,0.22914410371660274,0.4079746515398249,0.17883054782322214,0.26571662263862844
AR00A6H1187FB5402A,1,0.2654822966342968,0.2654822966342968,,0.2654822966342968,0.2654822966342968,0.0,0.3956275143166047
AR00AP71187B99635F,10,0.6530914479004079,0.6509965714797031,0.06153196006534461,0.5494729189630835,0.7376177812561157,0.18814486229303218,0.4660430736840596
AR00B1I1187FB433EB,36,0.6501941632279902,0.6426998614693225,0.09936925817459062,0.26586104921065007,0.9420559373970315,0.6761948881863815,0.49665962906546524
AR00DDV1187B98B2BF,7,0.5451810518174953,0.5801887479813862,0.07939952493194774,0.37616992484089345,0.6058196074754773,0.2296496826345838,0.41839357059306337
AR00DG71187B9B7FCB,6,0.38953269913734156,0.3930276901318841,0.10842941844791075,0.21204540548371908,0.5210156973021177,0.30897029181839863,0.42149376475077416
AR00FOZ1187FB5C9F3,29,0.5009966130945762,0.5323894203091404,0.11257222595443693,0.26695518627553855,0.6737026641368279,0.40674747786128934,0.49947545503936347
AR00FVC1187FB5BE3E,43,0.5682442095703417,0.6014379253795148,0.10128458281292003,0.26070917124210047,0.7350134244209225,0.4743042531788221,0.5500310292149614
AR00IKC1187FB37BD5,11,0.5405977888358505,0.5412685338548686,0.030389809869139247,0.48169414661397864,0.5894050679841478,0.10771092137016919,0.46070242914420073
