new_song_id,profile_name,y_hat,y_true_holdout,loudness,tempo,duration,year,danceability,energy,cost,tier
NEW_SONG_01,夏日高能量,0.6201946447490267,0.5218203,4.6731324,138.0,180000.0,2003,0.15,0.2,58.0,TOP
NEW_SONG_02,抒情慢板,0.6201212858756848,0.5218203,-4.3268676,93.6,224000.00000000003,2003,0.0,0.0,28.0,FLOP
NEW_SONG_03,復古翻新,0.6201212858756848,0.5218203,-0.3268676,114.0,200000.0,1985,0.0,0.0,35.0,FLOP
NEW_SONG_04,最新潮流,0.6254275455323469,0.5218203,2.6731324,129.60000000000002,188000.0,2013,0.12,0.18,52.0,TOP
NEW_SONG_05,短歌衝刺,0.6201570172184557,0.5218203,3.6731324,144.0,144000.0,2005,0.18,0.22,48.0,HOP
NEW_SONG_06,長曲敘事,0.6201212858756848,0.5218203,-1.3268676,105.6,256000.0,2003,0.0,0.0,38.0,FLOP
NEW_SONG_07,舞曲場,0.6254275455323469,0.5218203,5.6731324,150.0,170000.0,2007,0.25,0.28,56.0,TOP
NEW_SONG_08,民謠感,0.6201212858756848,0.5218203,-3.3268676,90.0,212000.0,1997,0.0,0.0,22.0,FLOP
NEW_SONG_09,主流中庸,0.6201946447490267,0.5218203,1.6731324,122.4,200000.0,2004,0.05,0.08,42.0,TOP
NEW_SONG_10,實驗邊緣,0.625354186659005,0.5218203,-0.8268676,158.4,136000.0,2009,0.1,0.15,45.0,TOP
NEW_SONG_11,電音派對,0.6201570172184557,0.5218203,6.6731324,153.6,160000.0,2006,0.3,0.35,60.0,HOP
NEW_SONG_12,原聲不插電,0.6201212858756848,0.5218203,-5.3268676,86.39999999999999,229999.99999999997,2000,0.0,0.0,20.0,FLOP
NEW_SONG_13,懷舊金曲,0.6201946447490267,0.5218203,0.6731324,110.4,210000.0,1991,0.02,0.0,30.0,TOP
NEW_SONG_14,街頭嘻哈,0.6254275455323469,0.5218203,3.1731324,132.0,176000.0,2008,0.2,0.25,50.0,TOP
NEW_SONG_15,電影配樂感,0.6201212858756848,0.5218203,0.1731323999999999,102.0,270000.0,2003,0.0,0.05,36.0,FLOP
NEW_SONG_16,兒童節慶,0.6201946447490267,0.5218203,2.1731324,141.6,156000.0,2003,0.22,0.18,40.0,TOP
NEW_SONG_17,金屬衝擊,0.6201570172184557,0.5218203,6.1731324,162.0,150000.0,2005,0.08,0.4,54.0,HOP
NEW_SONG_18,爵士深夜,0.6201212858756848,0.5218203,-2.8268676,98.4,240000.0,1995,0.1,0.0,26.0,FLOP
NEW_SONG_19,民謠清新,0.625354186659005,0.5218203,-1.8268676,105.6,204000.0,2007,0.05,0.0,24.0,TOP
NEW_SONG_20,合成器流行,0.6254275455323469,0.5218203,2.6731324,134.4,184000.0,2010,0.15,0.2,46.0,TOP
